Price,Close,High,Low,Open,Volume,Return,MA20,MA50,Volatility,Volume_Change,MA_Cross,RSI
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,,,,,,,
Date,,,,,,,,,,,,
2026-01-19,3869.800048828125,3878.39990234375,3808.5,3820.0,1709380,0.0034747813566302632,4028.7949829101562,4024.8619970703126,0.011009257937578806,-0.054180268909422846,1,30.39173389819554
2026-01-20,3810.5,3874.300048828125,3800.0,3858.0,1658119,-0.015323801767505474,4015.699987792969,4022.7019970703127,0.011357632989310756,-0.029988065848436274,0,22.27862975799134
2026-01-21,3766.5,3830.0,3722.0,3800.0,2537185,-0.011547041070725572,4001.0849853515624,4018.9319970703127,0.011508093934262071,0.5301585712485051,0,11.011480464676751
2026-01-22,3793.800048828125,3801.300048828125,3755.10009765625,3798.89990234375,1856812,0.007248121287169784,3988.0949829101564,4015.71599609375,0.011756490755446538,-0.2681605795399232,0,11.802416679072195
2026-01-23,3743.800048828125,3799.39990234375,3720.10009765625,3798.0,1898703,-0.01317939779547539,3972.9199829101562,4010.5419970703124,0.011954481156826012,0.022560711585233095,0,10.963919412974988
2026-01-27,3787.800048828125,3815.0,3739.0,3743.800048828125,2162193,0.01175276441747286,3960.3749877929686,4006.21,0.012450578444096966,0.13877367866380363,0,18.21622579874638
2026-01-28,3794.0,3828.199951171875,3769.10009765625,3804.300048828125,2111741,0.0016368211341548644,3947.474987792969,4001.5360009765627,0.01241107095909478,-0.023333717202858373,0,16.68503994170743
2026-01-29,3932.89990234375,3960.89990234375,3843.60009765625,3860.0,4227139,0.03661041179329194,3939.9449829101563,4000.2019970703127,0.01513118334878889,1.0017317464594382,0,41.39794782929951
2026-01-30,3932.300048828125,3942.39990234375,3891.800048828125,3902.5,2208465,-0.00015252193814230264,3929.539990234375,3998.45599609375,0.014683015602579433,-0.477550891986282,0,41.59276901866516
2026-02-02,3921.300048828125,3934.800048828125,3825.0,3830.699951171875,3034613,-0.002797345030493781,3917.4349975585938,3996.1339990234374,0.01456094966333511,0.3740824509331142,0,41.234528744675714
2026-02-03,4038.800048828125,4122.0,4030.60009765625,4117.0,3742190,0.02996455219873173,3911.8550048828124,3996.412001953125,0.016307963494170977,0.23316877638104105,0,63.93594993498722
2026-02-04,4087.10009765625,4107.0,4016.89990234375,4029.0,1403373,0.01195900966727459,3909.1800048828127,3997.8880029296874,0.01656824312706649,-0.6249861711992175,0,69.41568625603016
2026-02-05,4063.300048828125,4088.5,4035.89990234375,4088.0,1433240,-0.005823211631585279,3904.495007324219,3999.2200048828126,0.01657342772672169,0.02128229629613787,0,66.6329741475025
2026-02-06,4068.10009765625,4078.0,4042.300048828125,4055.0,1630836,0.001181317837827267,3906.480017089844,3999.3420068359374,0.015002631153921938,0.13786665178197643,0,67.96810051082615
2026-02-09,4113.60009765625,4124.7001953125,4062.39990234375,4073.89990234375,1830267,0.011184582214733174,3910.9000244140625,3999.9880078125,0.015182208036285158,0.12228758747047519,0,69.62331519571143
2026-02-10,4169.0,4174.60009765625,4122.39990234375,4140.0,1890261,0.013467498305271386,3918.4000244140625,4001.976005859375,0.015409046738659749,0.03277882407320898,0,79.03775420611755
